Win Rates,real,expected
0.0,-0.05234627680991927,-0.052344674714101154
0.1,-0.044017574824675915,-0.04519658799668077
0.2,-0.037576196639811925,-0.037961406337422024
0.30000000000000004,-0.03035967564775013,-0.030718950020179468
0.4,-0.02312065863149654,-0.023595681815554218
0.5,-0.016683266970107906,-0.01688128122605899
0.6000000000000001,-0.012781742242024385,-0.013063756524973935
0.7000000000000001,0.008311981317721377,0.010228347501393342
0.8,0.014335552706369745,0.01387428937575589
0.9,0.026733355794370042,0.027497929034327972
1.0,0.04681755132133093,0.04684899401890402
